Дата;eq 1;eq 2;eq 3;eq 4;eq 5;eq 6;eq 7;eq 8;eq 9;eq 10;eq 11;eq 12;eq 13;eq 14;eq 15;eq 16;eq 17;eq 18;eq 19;eq 20;eq 21;eq 22;eq 23;eq 24;eq 25;eq 26;eq 27;eq 28;eq 29;eq 30;eq 31;eq 32;eq 33;eq 34;eq 35;eq 36;eq 37;eq 38;eq 39;eq 40
03.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
04.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
05.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
06.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
07.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
08.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
09.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
10.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
11.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
12.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
13.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
14.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
15.03.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
