Дата;Часы;Факт, Мвт*ч;Плановая температура;
19.07.2013;14;8,278;20;
19.07.2013;15;8,493;20;
19.07.2013;16;8,547;20;
19.07.2013;17;8,451;20;
19.07.2013;18;8,287;19;
19.07.2013;19;8,141;17;
19.07.2013;20;7,891;16;
19.07.2013;21;7,985;16;
19.07.2013;22;7,715;15;
19.07.2013;23;7,746;14;
20.07.2013;0;7,728;15;
20.07.2013;1;7,801;15;
20.07.2013;2;7,669;15;
20.07.2013;3;7,779;14;
20.07.2013;4;7,741;14;
20.07.2013;5;7,791;14;
20.07.2013;6;7,724;15;
20.07.2013;7;7,775;17;
20.07.2013;8;7,892;18;
20.07.2013;9;8,107;19;
20.07.2013;10;8,114;20;
20.07.2013;11;8,304;21;
20.07.2013;12;8,152;22;
20.07.2013;13;8,052;22;
20.07.2013;14;7,863;22;
20.07.2013;15;7,922;21;
20.07.2013;16;7,968;20;
20.07.2013;17;7,888;20;
20.07.2013;18;7,82;19;
20.07.2013;19;7,649;18;
20.07.2013;20;7,506;17;
20.07.2013;21;7,539;16;
20.07.2013;22;7,43;15;
20.07.2013;23;7,431;14;
21.07.2013;0;7,388;14;
21.07.2013;1;7,694;13;
21.07.2013;2;7,439;13;
21.07.2013;3;7,577;13;
21.07.2013;4;7,443;13;
21.07.2013;5;7,527;14;
21.07.2013;6;7,603;15;
21.07.2013;7;7,674;17;
21.07.2013;8;7,853;18;
21.07.2013;9;7,931;20;
21.07.2013;10;8,085;21;
21.07.2013;11;8,271;22;
21.07.2013;12;8,471;23;
21.07.2013;13;8,522;23;
21.07.2013;14;8,606;23;
21.07.2013;15;8,484;23;
21.07.2013;16;8,321;22;
21.07.2013;17;8,208;21;
21.07.2013;18;8,081;20;
21.07.2013;19;7,77;19;
21.07.2013;20;7,834;17;
21.07.2013;21;7,774;16;
21.07.2013;22;7,594;16;
21.07.2013;23;7,733;15;
22.07.2013;0;7,758;16;
22.07.2013;1;7,682;15;
22.07.2013;2;7,568;15;
22.07.2013;3;7,755;15;
22.07.2013;4;7,79;15;
22.07.2013;5;7,784;15;
22.07.2013;6;7,724;16;
22.07.2013;7;7,842;17;
22.07.2013;8;8,106;18;
22.07.2013;9;8,274;19;
22.07.2013;10;8,241;20;
22.07.2013;11;8,291;21;
22.07.2013;12;8,435;21;
22.07.2013;13;8,492;21;
22.07.2013;14;8,401;21;
22.07.2013;15;8,081;21;
22.07.2013;16;8,254;20;
22.07.2013;17;8,059;20;
22.07.2013;18;7,947;19;
22.07.2013;19;7,729;18;
22.07.2013;20;7,694;17;
22.07.2013;21;7,716;16;
22.07.2013;22;7,641;15;
22.07.2013;23;7,547;14;
23.07.2013;0;7,59;13;
23.07.2013;1;7,623;13;
23.07.2013;2;7,489;12;
23.07.2013;3;7,427;13;
23.07.2013;4;7,522;13;
23.07.2013;5;7,619;14;
23.07.2013;6;7,64;16;
23.07.2013;7;7,813;17;
23.07.2013;8;7,946;19;
23.07.2013;9;8,023;21;
23.07.2013;10;8,022;22;
23.07.2013;11;8,241;23;
23.07.2013;12;8,187;23;
23.07.2013;13;8,16;23;
23.07.2013;14;7,93;24;
23.07.2013;15;7,948;23;
23.07.2013;16;7,917;23;
23.07.2013;17;7,887;22;
23.07.2013;18;7,922;21;
23.07.2013;19;7,661;20;
23.07.2013;20;7,338;19;
23.07.2013;21;7,435;18;
23.07.2013;22;7,392;17;
23.07.2013;23;7,355;17;
24.07.2013;0;7,749;16;
24.07.2013;1;7,581;16;
24.07.2013;2;7,444;15;
24.07.2013;3;7,265;15;
24.07.2013;4;7,426;15;
24.07.2013;5;7,548;15;
24.07.2013;6;7,578;16;
24.07.2013;7;7,8;16;
24.07.2013;8;7,879;17;
24.07.2013;9;7,779;17;
24.07.2013;10;7,833;18;
24.07.2013;11;7,921;19;
24.07.2013;12;7,931;19;
24.07.2013;13;8,244;19;
24.07.2013;14;8,2;20;
24.07.2013;15;8,236;19;
24.07.2013;16;8,254;19;
24.07.2013;17;8,215;19;
24.07.2013;18;8,186;18;
24.07.2013;19;7,775;17;
24.07.2013;20;7,657;16;
24.07.2013;21;7,757;16;
24.07.2013;22;7,675;15;
24.07.2013;23;7,506;15;
25.07.2013;0;7,476;16;
25.07.2013;1;7,607;15;
25.07.2013;2;7,64;15;
25.07.2013;3;7,665;15;
25.07.2013;4;7,619;15;
25.07.2013;5;7,367;15;
25.07.2013;6;7,422;16;
25.07.2013;7;7,397;17;
25.07.2013;8;7,485;18;
